extension,char,codepoint
Extension A,㤂,U+3902
Extension A,㴊,U+3D0A
Extension A,䌱,U+4331
Extension A,㤀,U+3900
Extension A,䒤,U+44A4
Extension A,䀣,U+4023
Extension A,㩝,U+3A5D
Extension A,䀃,U+4003
Extension A,䄚,U+411A
Extension A,䇵,U+41F5
Extension A,㡐,U+3850
Extension A,䃢,U+40E2
Extension A,㖖,U+3596
Extension A,㫧,U+3AE7
Extension A,㘦,U+3626
Extension A,䃑,U+40D1
Extension A,䚘,U+4698
Extension A,䈯,U+422F
Extension A,㐨,U+3428
Extension A,㤩,U+3929
Extension A,䄂,U+4102
Extension A,㬬,U+3B2C
Extension A,䝞,U+475E
Extension A,䆅,U+4185
Extension A,䊳,U+42B3
Extension A,㽤,U+3F64
Extension A,㟛,U+37DB
Extension A,㫫,U+3AEB
Extension A,䮏,U+4B8F
Extension A,㷷,U+3DF7
Extension A,㴫,U+3D2B
Extension A,㮱,U+3BB1
Extension A,䕵,U+4575
Extension A,䬡,U+4B21
Extension A,㮋,U+3B8B
Extension A,䶖,U+4D96
Extension A,㓇,U+34C7
Extension A,㚜,U+369C
Extension A,䁧,U+4067
Extension A,䨟,U+4A1F
Extension A,㔂,U+3502
Extension A,䫮,U+4AEE
Extension A,䇺,U+41FA
Extension A,䫓,U+4AD3
Extension A,㸐,U+3E10
Extension A,㴤,U+3D24
Extension A,䤬,U+492C
Extension A,䝨,U+4768
Extension A,㸣,U+3E23
Extension A,䆎,U+418E
Extension A,䓠,U+44E0
Extension A,㭕,U+3B55
Extension A,㛢,U+36E2
Extension A,㠛,U+381B
Extension A,䫒,U+4AD2
Extension A,㛗,U+36D7
Extension A,䈎,U+420E
Extension A,㶌,U+3D8C
Extension A,䨨,U+4A28
Extension A,䕴,U+4574
Extension A,䫧,U+4AE7
Extension A,㐬,U+342C
Extension A,䥌,U+494C
Extension A,䓬,U+44EC
Extension A,䖦,U+45A6
Extension A,䏽,U+43FD
Extension A,䫶,U+4AF6
Extension A,䄙,U+4119
Extension A,㿧,U+3FE7
Extension A,䐣,U+4423
Extension A,䏄,U+43C4
Extension A,䛰,U+46F0
Extension A,䜌,U+470C
Extension A,㣁,U+38C1
Extension A,㤒,U+3912
Extension A,䜞,U+471E
Extension A,㹕,U+3E55
Extension A,㮟,U+3B9F
Extension A,䦼,U+49BC
Extension A,䬩,U+4B29
Extension A,㥓,U+3953
Extension A,䀴,U+4034
Extension A,㶼,U+3DBC
Extension A,䔷,U+4537
Extension A,㴭,U+3D2D
Extension A,㘁,U+3601
Extension A,㟥,U+37E5
Extension A,㣤,U+38E4
Extension A,䱊,U+4C4A
Extension A,䦘,U+4998
Extension A,㡠,U+3860
Extension A,䧏,U+49CF
Extension A,䐲,U+4432
Extension A,䞒,U+4792
Extension A,䘈,U+4608
Extension A,䣹,U+48F9
Extension A,䂏,U+408F
Extension A,䪞,U+4A9E
Extension A,㫡,U+3AE1
Extension A,㓹,U+34F9
Extension A,㶿,U+3DBF
Extension A,㹸,U+3E78
Extension A,䌝,U+431D
Extension A,䌪,U+432A
Extension A,䏢,U+43E2
Extension A,㻑,U+3ED1
Extension A,㥺,U+397A
Extension A,䭵,U+4B75
Extension A,䱏,U+4C4F
Extension A,㫊,U+3ACA
Extension A,䐘,U+4418
Extension A,㥃,U+3943
Extension A,䩧,U+4A67
Extension A,䦲,U+49B2
Extension A,䮶,U+4BB6
Extension A,䋫,U+42EB
Extension A,㪹,U+3AB9
Extension A,㿦,U+3FE6
Extension A,㣀,U+38C0
Extension A,䧨,U+49E8
Extension A,㭒,U+3B52
Extension A,㮆,U+3B86
Extension A,㔠,U+3520
Extension A,㿈,U+3FC8
Extension A,䢈,U+4888
Extension A,㤗,U+3917
Extension A,䁆,U+4046
Extension A,㯺,U+3BFA
Extension A,㩞,U+3A5E
Extension A,䔵,U+4535
Extension A,䂺,U+40BA
Extension A,㟍,U+37CD
Extension A,㡩,U+3869
Extension A,㶉,U+3D89
Extension A,㷻,U+3DFB
Extension A,㧣,U+39E3
Extension A,䵣,U+4D63
Extension A,䓐,U+44D0
Extension A,㢖,U+3896
Extension A,䘟,U+461F
Extension A,䳨,U+4CE8
Extension A,䩆,U+4A46
Extension A,㿹,U+3FF9
Extension A,䢅,U+4885
Extension A,㧈,U+39C8
Extension A,㢗,U+3897
Extension A,㢣,U+38A3
Extension A,䇘,U+41D8
Extension A,䳄,U+4CC4
